Chi_DMSO_S9	Chi_Nutlin_S10	DMSO_1_S1_R1_001	DMSO_2_S2_R1_001	DMSO_HCT116_RPI_26_S1_R1_001	GRO15_DMSO_062111_042215	GRO18_DMSO10_062111_042215	GRO20_DMSO100_062111_042215	i13_AGTCAA_L008_R1_001	i14_AGTTCC_L008_R1_001	i17_GTAGAG_L008_R1_001	i18_GTCCGC_L008_R1_001	MA_DMSO_S3	MA_Nutlin_S4	Nuria_DMSO_S6	Nuria_Nutlin_S7	Nutlin_1_S3_R1_001	Nutlin_2_S4_R1_001	Sam_DMSO_S9_R1_001	SRR1105736	SRR1105737	SRR1105738	SRR1105739	SRR828696	stdev	variance	mean	median	coefvar
EIF5	233.855018948601	221.257195046291	273.938520590531	217.208099588061	211.815378388864	139.91101778424	213.789286874329	309.081166212881	219.605851550959	172.660391016276	140.496442155924	115.592019484876	218.318537271021	226.273399391039	213.384776897366	190.843975632546	221.065763487619	199.519684695053	286.729148995452	149.34239598768	111.034707117047	180.362723084116	118.305824534744	255.717719636704	53.091476056007	2818.70482980556	201.671210182176	213.587031885847	0.263257586484693
HNRNPA2B1	484.007373371809	472.469504701593	560.706949247926	248.062783503581	262.089267248604	237.277475789859	714.988775401572	940.327857519919	565.023273437998	434.39929444266	334.088413981678	280.290588682149	468.352865889662	493.816577918251	529.953102942694	465.162755222834	270.802616059501	258.879406298545	577.40764617015	327.321361437294	232.142658299552	364.12086324174	253.084440310314	383.659766670665	173.364734400754	30055.3311338438	423.268150741273	409.029530556663	0.409586060508305
SRSF3	326.910150636967	342.863487265034	490.225771340561	201.174728275651	176.529060111037	53.9116456567981	238.890850744426	96.7005884722814	287.158000658014	252.762370799706	166.769061897025	140.976231102312	329.579340292856	365.861472556723	318.758842433368	292.98231278077	183.284387040945	166.987413967556	452.029722849983	222.472723994275	152.344492548796	250.74962308749	177.433980717988	303.64391878787	106.164536957787	11270.9089074612	249.625007417435	244.820236915958	0.42529607933172
RPL5	238.084407583487	248.46501880446	183.455217357109	151.627538618211	129.327785286295	48.6027938179466	190.532655415492	225.048838796692	184.898554686685	149.861546278286	113.380823597784	97.9412861972701	219.200531947177	254.637666245325	240.449214060036	237.702902882159	140.059011620448	126.49355149053	306.053006282727	155.023169521755	130.550949251751	164.309335302062	127.792204625211	228.929862091339	61.0764421056884	3730.33178028951	178.851161323343	173.882276329585	0.341493125645793
RPL34	256.213695900398	273.952722907395	203.407464505134	148.160282522075	129.388600269728	43.2590596286572	194.88337837286	365.221442530766	246.854253864632	236.950242331962	164.209996230797	128.615798251943	238.860727307029	282.283969254791	265.330138804277	235.024999857517	140.1335603025	125.802625246371	344.301315304952	186.181038811579	121.281933120227	233.236939552406	128.407394247683	277.675187946263	77.8189137317797	6055.78333439416	207.068198627998	218.32220202877	0.375812965232691
AREG	213.115194734068	248.974888771371	31.8900527898227	375.441186108832	335.36365767448	85.9183050995458	296.00830421636	330.236785542382	238.0147075578	368.182228753489	167.099094733389	242.890506841693	207.013423355973	259.260579849161	186.154026122652	181.400693273817	379.806379760411	273.729313225785	366.347484915593	234.827399381974	157.747185122141	402.829263184105	202.718888408382	462.294807165885	103.627090859838	10738.5739600732	260.302681524546	245.932697806532	0.398102279442197
HNRNPH1	411.917105383924	378.588960865301	327.448772777409	171.542718389228	154.368052085636	131.596710678996	420.05733215217	441.572337969367	356.473139957057	279.66891015086	242.965941922811	208.521849488806	391.322898311147	438.891555440457	447.857257045031	370.726712076863	162.861296766388	138.617527380306	462.750290834041	239.572826486451	170.563257097001	281.024676034576	190.030487023321	323.990164351361	113.125007475571	12797.267316348	297.622115861188	302.507420192969	0.380096106595563
RBM12B	273.432884174446	264.670840459956	121.779764171025	131.686210226703	125.194232700465	159.769276624092	264.67646584855	344.989500487263	292.423127305171	259.800146601201	183.254422417522	159.086380043767	292.634474199551	342.513526844327	254.930224788978	226.684801634968	130.478707579726	107.323907965856	352.478268122448	187.525496400031	120.730525301533	227.964599693393	135.040555750291	277.178367806433	79.5672968481164	6330.95472771627	218.176946131154	227.324700664181	0.364691587535035
SNHG4	355.699807547525	371.207563172828	287.492758665891	234.957859290518	219.165211561914	87.6253888591619	326.062204657261	272.976606670647	338.344749969092	251.975643101754	173.389555533864	145.224093703074	344.668754899679	412.805681290622	347.595544557293	313.832046647229	223.453156974169	209.150925662108	544.519402502863	341.852637590226	181.480844419952	372.079344337915	216.417484168735	336.984011986268	99.1852197829741	9837.70782339687	287.873386573775	300.66240265656	0.344544596370861
HMGA1	261.775044587098	248.930087912129	199.216870824603	230.782053901677	233.535990132433	532.636744802719	323.379297686893	421.943951655898	151.477910315437	73.2218403321621	77.2696511136547	65.1942205470853	219.904300067799	240.147371720401	264.655481745079	260.466531540759	254.59358448862	272.133359056467	247.788437055512	272.773982262332	259.87915114092	198.59140865447	323.541323837237	251.892525787191	100.673371700761	10135.1277695995	245.238796715357	250.41130684966	0.410511603584525
